product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name
B0DK89638J,ANRABESS Boxer Shorts for Women Gingham Pajama 2025 Summer Casual Lounge Sleep Plaid Shorts Y2K Beach Bottoms,Clothing,$8.99,N/A,N/A,4.4,260,N/A,N/A,
B0DFPTC4P8,Trendy Queen Womens Oversized Long Sleeve T Shirts 2025 Basic Crewneck Tee Fall Tops Casual Workout Y2K Clothes,Clothing,$12.99,N/A,N/A,4.3,711,N/A,N/A,
B0CQJVHCVH,Trendy Queen Womens Going Out Crop Tops Backless Tank Tops Summer Y2k Teen Girls Basics Cute Clothes,Clothing,$12.99,N/A,N/A,4.2,870,N/A,N/A,
B0D4YJBCFT,AUTOMET Womens Ribbed Shirts Crewneck Fitted Tops Casual Underscrubs Layer Slim Basic T-Shirts,Clothing,$14.99,N/A,N/A,4.5,1111,N/A,N/A,
B09N8K6B43,AUROLA Intensify Workout Shorts for Women Seamless Scrunch Short Gym Yoga Running Sport Active Exercise Fitness Shorts,Clothing,$24.99,N/A,N/A,4.4,14430,N/A,N/A,
B0CRPF84GM,OQQ Womens 2 Piece Shirts Short Sleeve Crew Neck Ruched Stretch Fitted Tee Shirts Crop Tops,Clothing,$29.99,N/A,N/A,4.2,1402,N/A,N/A,
B0DK8H81QH,ANRABESS Women Tops Cap Sleeve Textured Dressy Casual V Neck Shirts 2025 Summer Business Work Blouses Outfits,Clothing,$14.99,N/A,N/A,4.4,243,N/A,N/A,
B0CQSQPPT4,Trendy Queen Tshirts Shirts for Women Double Lined Going Out Crop Tops 2025 Spring Summer Workout Y2k Clothes Beach Fashion,Clothing,$9.99,N/A,N/A,4.4,1070,N/A,N/A,
B0D4QCZFTP,Zeagoo Women's Puff Long Sleeve Shirts Pleated V Neck Fall Tunic Tops Blouse Dressy Casual Loose Summer T-Shirts,Clothing,$18.99,N/A,N/A,4.4,2915,N/A,N/A,
B0BZBZ5T5R,WIHOLL Tops for Women Summer Casual Ruffle Trim Sleeve Square Neck T Shirts,Clothing,$12.99,N/A,N/A,4.4,3613,N/A,N/A,
B07CM7ZSQG,Amazon Essentials Women's Pull-On Knit Jegging (Available in Plus Size),Clothing,$16.36,N/A,N/A,4.2,17687,N/A,N/A,
B0CDCR6ZBZ,Hanes Women's Originals Comfywear Sleep Shorts (2 Pack),Clothing,$20.58,N/A,N/A,4.6,610,N/A,N/A,
B098XFMW2Q,MEROKEETY Women's 2025 Fall Oversized Batwing Sleeve Lounge Sets Casual Top and Shorts 2 Piece Outfits Sweatsuit,Clothing,$33.14,N/A,N/A,4.2,3146,N/A,N/A,
B09Z2PXL9C,AUTOMET Sweatpants Women with Pockets Lounge Casual Pajama Pants Joggers Fall Clothes Spring Outfits Resort Wear 2025,Clothing,$12.74,N/A,N/A,4.3,9071,N/A,N/A,
B09SYC4B1S,Real Essentials 3 Pack: Women's Ultra-Soft Lounge Joggers Sweatpants Athletic Yoga Pants with Pockets (Available in Plus),Clothing,$36.99,N/A,N/A,4.3,10896,N/A,N/A,
B0DYNRNJ44,Trendy Queen Oversized Tshirts for Women Workout Plus Size Tops V Neck Short Sleeve Gym Shirts Casual Loose Fit Basic Tees,Clothing,$14.99,N/A,N/A,4.4,223,N/A,N/A,
B0C4KYH9PR,ANRABESS Women Linen Palazzo Pants Summer Boho Wide Leg High Waist Casual Lounge Pant 2025 Beach Travel Vacation Outfits,Clothing,$32.99,N/A,N/A,4.0,4061,N/A,N/A,
B08BV449BY,Gerber Baby Boys 4 Pack Sleep 'N Play Footie,Clothing,$21.10,N/A,N/A,4.7,64651,N/A,N/A,
B0CXJ9FF4D,AUTOMET Womens Summer Tops Oversized Short Sleeve Business Casual T Shirts Trendy Fashion Clothes Spring Outfits 2025,Clothing,$9.99,N/A,N/A,4.4,2403,N/A,N/A,
B0CLQRV74V,Columbia Girl's Switchback Ii Jacket,Clothing,$17.99,N/A,N/A,4.5,1081,N/A,N/A,
B0CYQ449G5,Dokotoo Tops for Women Striped 2025 Fashion T Shirts for Women Color Block Crewneck Design Loose Basic Tee,Clothing,$13.99,N/A,N/A,4.2,1067,N/A,N/A,
B08R99V6KP,"Amazon Essentials Women's Cotton Bikini Brief Underwear (Available in Plus Size), Multipacks",Clothing,$11.26,N/A,N/A,4.4,149766,N/A,N/A,
B0CKZ45MCT,"SINOPHANT High Waisted Leggings with Pockets Women, Full Length Capri Buttery Soft Stretchy Yoga Pants",Clothing,$7.99,N/A,N/A,4.2,2303,N/A,N/A,
B0BR8C36W9,AUTOMET Womens Jumpsuits Shorts Rompers Workout One Piece Bodysuits Jumpers Yoga Summer Fashion Vacation Outfits Clothes 2025,Clothing,$12.99,N/A,N/A,4.3,2293,N/A,N/A,
B0B3LJQ9S3,ODODOS Women's Crop 3-Pack Seamless Rib-Knit Camisole Crop Tank Tops,Clothing,$19.98,N/A,N/A,4.4,11128,N/A,N/A,
B0BQRR7W5P,AUTOMET Jumpsuits for Women Casual Summer Outfits Rompers Comfy Beach Vacation Trendy Overalls Jumpers Fashion Clothes 2025,Clothing,$28.99,N/A,N/A,4.4,6647,N/A,N/A,N/A
B0DHCP1CFW,PRETTYGARDEN Women's 2 Piece Lounge Set 2025 Summer Casual Loose Tank Top Wide Leg Pants Matching Travel Outfits Tracksuit,Clothing,$38.99,N/A,N/A,4.2,374,N/A,N/A,
B0CMCDQR65,Dokotoo Summer Shirts 2025 Womens Solid T Shirts for Women Loose Oversized Tops Basic Tee,Clothing,$16.99,N/A,N/A,4.4,1463,N/A,N/A,N/A
B016LJ5XNW,"Just My Size Women's Sweatspants, French Terry Capris with Pockets, JMS Women's Capri Pocket Sweatpants",Clothing,$13.92,N/A,N/A,4.3,17726,N/A,N/A,N/A
B0B6DFRCZH,Gerber Baby Girls' 4-Pack Footed Pajamas,Clothing,$29.98,N/A,N/A,4.5,4524,N/A,N/A,N/A
