product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name
B07ZPMYYZF,"Best Pet Supplies Pet Wipes for Dogs - Dog Wipes Cleaning Deodorizing, for Coats, Ears, Paws - Calming Lavender, Aloe Vera, 100 Count",Pet_Supplies,$7.99,$9.99,20.02%,4.6,11387,"DEEP CLEANSING: Remove dirt from paws, ears, and other areas with dog grooming wipes. These dog wipes for paws and butt keep your pet's coat clean, reducing dryness, itchiness, and odors HYDRATING FORMULA: Lavender, Vitamin E, and cucumber extract in dog cleaning wipes nourish and hydrate DURABLE AND GENTLE: 8” x 9” dog cleaning wipes are durable against tough dirt yet gentle on sensitive areas VARIETY OF OPTIONS: Use dog grooming wipes in scented and unscented varieties to clean and deodorize. Dog wipes for face and butt leave pets refreshed from head to tail EASY-TO-CARRY PACKS: The compact, resealable pouch holds dog grooming wipes. Ideal for home or on the go, great for hikes or trips with these dog paw wipes",N/A,
B07YWCVKFH,"FIREOR Dog Squeak Toys, No Stuffing Plush Dogs Chew Toy for Small Medium Large Breed Chewer Squeaky Pet Supplies Tough Durable Puppy Teething Chewing Interactive to Keep Them Busy Best Birthday Gift",Pet_Supplies,$18.99,$21.99,13.64%,4.4,11813,"🐶 Plush Dog Squeaky Toys: This assortment value bundle plush pet toy contains 5 pack big woodland animals: Raccoon Squirrel Tiger Fox and Lion. The funny and enrichment toys help dogs to exercise more and improve their health. A good dog products for boredom and stimulating. They can do chewing and teething, tug of war games. Quality interactive playing time together will also increase their bond with owner. It's the best gift supplies for dogs Birthday Christmas Halloween or any holiday 🎁 No Stuffing Plush Toys: 100% stuffingless squeaky toys and no any hidden dangerous stuffing, it's very safe for your puppies to play, no worry about swallow or choke on. Five different sized bulk toys make it suitable for small, medium and large breeds chewers. It will be more durable because most dogs are less tempted to kill an unstuffed toy. No more cleaning up bits of fluff from all over the house 🐶 With Two Squeaky: These stuffless squeak doggie toys set have squeakers in both head and tail which will attract dog's attention. When you’re away from home, squeaky toys will help release your pet's anxiety and pressure, keep them busy, cleaning their teeth, and reduce their destructive behavior. No need to worry about your dog’s alone at home, or pillows, sofas, shoes, etc getting destroyed. With toys dogs won’t feel bored or chew furniture up, their excess energy will be released 🎁 Good Quality: Made of non-toxic premium quality plush fabric, incredibly safe, soft and durable. Floppy lightweight bodies, length of fox and lion is 17.72inch, squirrel and raccoon is 21.26inch, tiger is 19.69inch, easy for small, medium and large dogs to carry, toss, and roll around with. Intensive fabric and better stitching make these squeeky toys more durable for dogs 🐶 WARM TIPS FOR DOG TOY SET: Please kindly note these toys are not for extra aggressive chewers, such as hound. We offer 30 Days Replacement and Refund Guarantee for these stuffless dog toys. There is anything wrong with it, just click ""Contact Us"" and we will be happy to assist you with replacement or refund. We suggest watching closely when you give these toys to your Indestructible Tough Chewer to watch dogs pull the squeakers out due to aggressive chewing",N/A,
B0CK1MXC7J,"Veken Innovation Award Winner Stainless Steel Cat Water Fountain, 95oz/2.8L Automatic Pet Fountain Dog Water Dispenser with Replacement Filters & Silicone Mat for Cats, Dogs, Multiple Pets (Silver)",Pet_Supplies,$35.99,$23.99,-50.02%,4.3,8110,"Award-Winning Product. Veken is proud to be a 2024 Category Winner of the Pet Innovation Awards, an honor given to only the most forward-thinking products within the rapidly expanding Pet industry. Upgraded Stainless Steel. Opt for a stronger, more hygienic version of our best selling pet fountain. Dishwasher safe and BPA-free, our stainless steel design offers the elevated and modern look you want with additional benefits. Large Capacity Water Tank. Worry less about your furry friend running out of water. Our pet fountain features a generously sized water reserve tank to help you avoid frequent refilling, ensuring your pets are healthy, hydrated, and happy. Advanced 5-Stage Filtration. Our upgraded system with silver, scale inhibitors, and activated carbon delivers fresh, clean water for up to 3 weeks. For optimal performance and your pet’s health, we recommend using softened or filtered water. LED Light Feature. Illuminate your pet’s favorite drinking spot with our optional on/off light feature. Designed for assisted visibility of water level and fountain location, our gentle light is perfect for avoiding spills and easy refilling.",N/A,
B0BHYZV3HY,"oneisall Dog Grooming Vacuum, Pet Grooming Vacuum with Clipper Nail Grinder, 1.5L Dust Cup Dog deshedding Vacuum Brush with 7 Pet Grooming Tools for Shedding Pet Hair, Home Cleaning",Pet_Supplies,$99.99,$109.99,9.09%,4.6,9352,"Grooming and Vacuuming All at Once : Our pet grooming clippers with vacuum function, can collects 99% of pet hair into a vacuum container. The removed loose hair will be sucked into the vacuum dust box directly when grooming pet hair, no mess, keep your home neat and clean. Even if you are a novice, you can easily complete home grooming Dog Clippers & Nail Grinder & Trimmers Used Alone & with Vacuum: Our pet clippers, paw trimmer and dog nail grinder can be used alone, don't need to connect hose, you can trim your dog anywhere as these clippers are cordless. You also can use clipper with vacuum. Gives you the freedom to groom your pet anywhere in your home or even outside Low Noise Design: Our pet grooming vacuum's noise only 60 dB. 3 adjustable suction levels to choose ,making your pet dogs feel relaxed and not be scared during grooming Easy Empty Dustbin & Easy to Store: With a detachable 1.5 L dust box, 25% more capacity than others,easy-to-empty, do not need to empty often during grooming. The removable dust cup is equipped with an easy empty lid for quick, mess-free empty after cleaning.The device is highlighted with space-saving feature, we provide storage boards and bags for easy storage 7 in 1 Pro Pet Grooming Kit, Keep the House Tidy: oneisall pet grooming kit with vacuum make home grooming easy.The grooming brush and the deshedding tool gently remove loose hair and making pet hair shiny and smooth while eliminating tangles. Electric clipper, dog paw trimmer and dog nail grinder provides excellent cutting. Give your pet a best grooming experience. Nozzle head and Cleaning brush can be used for collecting pet hair falling on the carpet, sofa and floor Flexible Use & Easy Storage: The hose is extended to 4.9 FT and the power cable is 8.7 FT, which is long enough to provide more flexibility, you can groom your pet in the yard or large living room without distance limitation. Besides, all accessories are organized perfectly in the storage bag, farewell to clutter Voltage: Working Voltage is used for 110-130V only",N/A,
B0BX5ZT7FN,Pet Feeding Mat-Absorbent Dog Mat for Food and Water Bowl-No Stains Quick Dry Dog Water Dispenser Mat-Dog Accessories Pet Supplies-Dog Water Bowl for Messy Drinkers,Pet_Supplies,$9.99,$9.99,0.00%,4.5,4761,"Super Absorbent & Durable: Perfect pet supplies.This pet food mat can prevent liquid from overflowing. Super absorbent and quick-drying ability to avoid wetting pet paws even for messy drinkers. Sturdy dog & cat food bowl mat cannot be torn easily and avoid eating by mistake. Keep the pet's eating environment tidy and clean. Keep Clean & No Stains：No marks will be left when food and water are dropped on the dog food mat. Unlike traditional silicone pet feeding mats, our pet feeding mat for food and water won't pick up pet hair or dust, and won't build up tough-to-clean limescale, keeping the dog bowl mat as good as new forever. Easy Clean & Easy Storage:After using this mat for a while, you just need to clean quickly just by rising.And just dry the bottom and put it into the next use.It can be rolled up for easy portability and space saving. An easy care pet accessories stuff for puppy dog or cat. Anti-Leakage & Anti-Slip: The 100% non-slip rubber backing keeps the dog placemat in place no matter how your pet pushes on it. The waterproof rubber bottom prevents water from penetrating the floor. Pet bowl mats for food and water will not cause the floor to be corroded and reduce the abrasion to the floor. Pet Supplies: This feeding & watering mat Suitable dog cat puppy or other pets. Not only can be used for pet food and water bowls or automatic feeders, but it can also be used as a special drying mat for pet bowls. Let your beloved pet have a whole set of exclusive supplies.",N/A,
B08WH8BY8Y,"IRIS USA Dog Food Storage Container, 30 lbs & 11 lbs Combo, Cat Food Storage Container, Dog Treat Container, Airtight, Stackable, 2-Cup Scoop, Wheels, Easy Mobility, Black",Pet_Supplies,$29.99,$49.98,40.00%,4.5,49945,"AIRTIGHT CONTAINER: Ensure your pet's food stays fresh with airtight seals and snap-lock latches, keeping moisture and humidity out. Lock in the freshness of dry food and treats while maintaining a neat and organized food storage area. CONTENTS: 11 lbs / 12 Qt storage container securely stacks on the 30 lbs / 33 Qt storage container, one matching 2-cup food scoop, and one set of wheels. Included scoop makes measuring food easy and attachable casters make it easy to roll it around. CLEAR CONTAINER BODY: The translucent body allows you to check the food level at just one glance. Quickly assess the remaining amount before heading to the pet store. VARIETY OF COLORS: Check out the variety of colored containers available to store your cute friend's kibbles, pellets, seeds, and treats. DIMENSIONS: 16.50""L x 10.83""W x 24.6""H (without casters 23""H). Made in the USA with global materials and used all around the world. BPA-free and FDA-compliant. Safe for you and your furry friend.",N/A,
B0CFY9LC2J,"Pet Feeding Mat-Absorbent Pet Placemat for Food and Water Bowl, with Waterproof Rubber Backing, Quick Dry Water Dispenser Mat for Dog and Cat (12""x20"", Striped Dark Gray)",Pet_Supplies,$6.99,$9.99,30.03%,4.5,1900,"【Strong Absorbent & Stain-Resistant】Our dog food mat boasts exceptional absorbency, quickly soaking up any spilled water & milk and leaving no traces behind. It effectively prevents wet paws and keeps your pet's eating area clean. 【Anti-Slip & Leak-Proof】Our dog bowl mat features a non-slip rubber backing that securely maintains its position. The waterproof rubber bottom provides excellent leak protection, preventing water from seeping into the floor and causing damage. 【Easy to Clean】The surface of our pet food mat is made of a special material that resists pet hair and dust. Simply wipe it with a damp cloth or rinse it with water. Keep pet's eating area hygienic. 【Pet-Friendly & Durable】Our cat food mat is highly durable and tear-resistant, preventing your pets from accidentally ingesting it. The mat is soft and comfortable, ensuring a pet-friendly environment for your furry friend. 【Versatile Pet Supplies】Suitable for cats, dogs, and other pets, this pet food mat is ideal for their feeding needs. The generous size provides ample space for eating and drinking, while effectively protecting your floors.",N/A,
B008FNKQSU,"Arm & Hammer Dog Pooper Scooper Swivel Bin & Rake, Poop Scoop for Dogs, Black (2 Heavy Duty Scented Waste Bags Included)",Pet_Supplies,$21.58,N/A,N/A,4.5,99160,"EASY NO-TOUCH CLEANUP: The Arm & Hammer dog poop scooper with rake extends up to 32 inches, letting you scoop without bending, kneeling, or squatting, keeping your hands clean and your back comfortable NO MESS COLLECTION: This dog poop scooper for yard, and other surface use, features a rake and swivel bin that rakes waste into fitted dog poop bags, so your yard can stay clean with ease DURABLE & ADJUSTABLE: Our pooper scooper for dogs is lightweight with an ergonomic 32-inch adjustable handle, allowing you to pick up pet waste with ease on any surface CONVENIENT STORAGE: The snap-together design of this pooper scooper for dogs allows the bin and rake to hang easily for compact storage, keeping your storage space neat INCLUDES SCENTED BAGS: This pooper scooper comes with two Arm & Hammer heavy duty scented waste bags that are 2X thicker than the standard grocery bag, and includes activated baking soda to neutralize odors, providing a secure and no mess cleanup Easy to Assemble and Use: Simply pull a single bag from the perforated section on the side of the package, loop the bag handles around the hooks on the side of the bin, and tie with the easy-tie handles when finished. Refill bags are also sold separately Arm & Hammer, From waste bag dispensers and litter box wipes to litter pans, liners, scoops, and pet beds, Arm & Hammer has you and your pet covered with mess-fighting solutions that people know and trust",N/A,
B00NABTGY2,"Amazon Basics Dog Poop Bags with Dispenser, 900 Count, Enhanced for Guaranteed Leakproof, Unscented, Includes Leash Clip",Pet_Supplies,$17.99,$24.99,28.01%,4.8,216239,"Dog poop bags for quick, easy pick-ups Neatly contains waste and minimizes odors Leakproof design keeps hands clean and protected Includes 900 unscented plastic bags (15 bags per roll; 60 rolls), a dispenser, and a matching leash clip Large 13 x 9-inch bag size for generous coverage Carabiner for clipping the dispenser onto a leash (leash not included) Plastic dispenser makes it easy to remove a bag from the roll during walks",N/A,
B089QXMQXK,"Bedsure Orthopedic Dog Bed for Medium Dogs - Waterproof Dog Sofa Beds Medium, Supportive Foam Pet Couch Bed with Removable Washable Cover, Waterproof Lining and Nonskid Bottom, Grey, 28""x23""x6.5""",Pet_Supplies,$36.99,$42.99,13.96%,4.5,47162,"Orthopedic Support: Our orthopedic dog sofa is designed to give your pet unparalleled support for a deep, dreamy sleep. High-density egg-crate foam helps distribute weight evenly and provides the perfect amount of pressure relief and joint support. Enhanced Comfort: The 4-sided bolster design promotes ultimate comfort and security, offering your pet a variety of cozy positions to snuggle. The cushioned bolster shape is deeply filled to support your pet’s head and neck for a more restful sleep. And the lowered entrance protects your pet's knees and promotes accessibility. Waterproof & Easy Care: The durable foam mattress is encased in a waterproof liner to fully protect the foam from spills, water damage, or accidents. Remove the zippered cover in seconds and machine wash for easy care. Tested & Dog Approved: This supportive dog bed is wrapped in our velvety soft flannel fabric, offering soothing comfort that your furry friend will find cozy and relaxing. Pet Safe Materials: This standard 100 by OEKO-TEX certified dog bed consists of CertiPUR-US certified foam and luxurious flannel, creating a safe and comfortable space for your furry friend to rest and recharge. The non-skid bottom reduces slips and protects your dog.",N/A,
